,Critic_loss
158,3.3287353515625
159,2.515848398208618
160,2.3903963565826416
161,2.386934518814087
162,2.522247076034546
163,3.2201600074768066
164,2.621431589126587
165,2.4604618549346924
166,2.503692865371704
167,2.6976373195648193
168,2.143667697906494
169,2.4285404682159424
170,2.8906774520874023
171,2.6604902744293213
172,2.5136396884918213
173,2.5545461177825928
174,2.382967710494995
175,2.4497554302215576
176,2.453927993774414
177,2.486724376678467
178,2.6823923587799072
179,2.470989465713501
180,2.445981740951538
181,2.3442556858062744
182,2.323077440261841
183,2.743656873703003
184,2.670135974884033
185,2.417279005050659
186,2.2870845794677734
187,2.442183494567871
188,2.4258487224578857
189,2.360511064529419
190,2.7786407470703125
191,2.4990713596343994
192,2.684612512588501
193,2.464238166809082
194,2.7942135334014893
195,2.8826406002044678
196,2.473878860473633
197,2.396646499633789
198,2.3112294673919678
199,1.966287612915039
200,2.4837255477905273
201,2.8590991497039795
202,2.8710925579071045
203,2.6751720905303955
204,2.6851625442504883
205,2.6609137058258057
206,2.5333635807037354
207,2.8952159881591797
208,2.4020161628723145
209,2.3838515281677246
210,2.6852991580963135
211,2.247918128967285
212,2.393470287322998
213,2.620651960372925
214,2.403442859649658
215,2.6268208026885986
216,2.739393711090088
217,2.3764963150024414
218,2.556244134902954
219,2.437026023864746
220,2.5096375942230225
221,2.135876417160034
222,2.30578351020813
223,2.410158395767212
224,2.1872103214263916
225,2.288969039916992
226,2.4901657104492188
227,2.478863477706909
228,2.321439504623413
229,2.317775011062622
230,2.4366700649261475
231,2.4778058528900146
232,2.2642126083374023
233,2.344527006149292
234,2.244338035583496
235,2.112246036529541
236,2.2121646404266357
237,2.3503518104553223
238,2.1523773670196533
239,2.466235637664795
240,2.304905891418457
241,2.343114137649536
242,2.1184983253479004
243,2.76741623878479
244,2.194460153579712
245,2.5453927516937256
246,2.4078657627105713
247,2.3745076656341553
248,2.6412298679351807
249,2.673563003540039
250,2.6423261165618896
251,2.6151325702667236
252,2.5468549728393555
253,2.6957972049713135
254,2.3455536365509033
255,2.5498299598693848
256,2.2220864295959473
257,2.841454267501831
258,2.3501479625701904
259,2.5481057167053223
260,2.5259792804718018
261,2.374403238296509
262,2.5729124546051025
263,2.311025857925415
264,2.586561441421509
265,2.239102602005005
266,2.4425299167633057
267,2.444803237915039
268,2.3248066902160645
269,2.1192703247070312
270,2.4302210807800293
271,2.5453379154205322
272,2.471022129058838
273,2.3256189823150635
274,2.59088397026062
275,2.7117435932159424
276,2.7669966220855713
277,2.363053321838379
278,2.3243966102600098
279,2.656569719314575
280,2.232158899307251
281,2.068248987197876
282,2.537641763687134
283,2.5396835803985596
284,2.6893177032470703
285,2.6109659671783447
286,2.4154694080352783
287,2.401420831680298
288,2.532273292541504
289,2.1707780361175537
290,2.572096109390259
291,2.6403286457061768
292,2.664513111114502
293,2.4198105335235596
294,2.2821452617645264
295,2.8033103942871094
296,2.5829453468322754
297,2.494520425796509
298,2.583298921585083
299,2.3639447689056396
300,2.2711238861083984
301,2.359819173812866
302,2.4038898944854736
303,2.3935744762420654
304,2.529066562652588
305,2.449779987335205
306,2.8100197315216064
307,2.3457744121551514
308,2.3437256813049316
309,2.360011339187622
310,2.4641106128692627
311,2.3014843463897705
312,2.517422914505005
313,2.150357723236084
314,2.262354850769043
315,2.409285545349121
316,2.602396249771118
317,2.413649320602417
318,2.3868894577026367
319,2.6546647548675537
320,2.501413106918335
321,2.1658687591552734
322,2.453016996383667
323,2.3352138996124268
324,2.288599729537964
325,2.404137134552002
326,2.21848464012146
327,2.466545343399048
328,2.185159921646118
329,2.5384469032287598
330,2.300109624862671
331,2.6296918392181396
332,2.3270115852355957
333,2.2720539569854736
334,2.188981533050537
335,2.4235410690307617
336,2.6422595977783203
337,2.245192766189575
338,2.479498863220215
339,2.3221683502197266
340,2.6198694705963135
341,2.2951152324676514
342,2.267618179321289
343,2.417224168777466
344,2.294931411743164
345,2.364145040512085
346,2.4651007652282715
347,2.4364888668060303
348,2.366550922393799
349,2.3042681217193604
350,2.4463582038879395
351,2.5449695587158203
352,2.4651153087615967
353,2.4622645378112793
354,2.266103982925415
355,2.231112480163574
356,2.469212770462036
357,2.5636630058288574
358,2.6350626945495605
359,2.327333450317383
360,2.366060972213745
361,2.3435490131378174
362,2.4915921688079834
363,2.4841694831848145
364,2.3237593173980713
365,2.347043037414551
366,2.4718167781829834
367,2.4338176250457764
368,2.429447650909424
369,2.827097177505493
370,2.6604864597320557
371,2.4530701637268066
372,2.280150890350342
373,2.4383842945098877
374,2.6873247623443604
375,2.5001256465911865
376,2.4392483234405518
377,2.1774401664733887
378,2.1901044845581055
379,2.2746453285217285
380,2.4808361530303955
381,2.388901948928833
382,2.3208844661712646
383,2.570631265640259
384,2.393493413925171
385,2.5821187496185303
386,2.696688175201416
387,2.745359420776367
388,2.437548875808716
389,2.412543535232544
390,2.6962053775787354
391,2.3366730213165283
392,2.353870153427124
393,2.4852848052978516
394,2.481740713119507
395,2.359506845474243
396,2.392228126525879
397,2.1696889400482178
398,2.421372175216675
399,2.585347890853882
400,2.3831732273101807
401,2.376291036605835
402,2.426940679550171
403,2.47304368019104
404,2.3570556640625
405,2.675323486328125
406,2.36627197265625
407,2.2658393383026123
408,2.205773115158081
409,2.240255832672119
410,2.6107242107391357
411,2.3337290287017822
412,2.399226427078247
