,Accumulated_reward_HRL
403,-1.8471604645735984
404,-3.067942422780929
405,-4.333594199338893
406,-2.59774492262381
407,-3.474935038695152
408,-3.1144245436335285
409,-1.6185626283206367
410,-3.5165004884017175
411,-2.121590355875197
412,-3.992676377000534
413,-3.1546033942072795
414,-2.10909965297873
415,-2.531316932126469
416,-2.5216271151815826
417,-3.1436464704529676
418,-2.8364323124964272
419,-4.520691023894999
420,-3.6443978234831667
421,-2.1191713607426426
422,-3.0052084030153745
423,-1.6992115599430926
424,-2.9224776711898186
425,-2.0118041542997718
426,-3.542823671408235
427,-2.2766783490243796
428,-5.20757420882069
429,-2.90769746227553
430,-4.063481332724224
431,-3.957026211997
432,-2.9966903813296724
433,-2.56579255331357
434,-1.885258262925563
435,-3.851433390309856
436,-2.034752231646429
437,-5.101101034412982
438,-2.968282545740803
439,-3.557217279079673
440,-1.9744087728484239
441,-3.4996293377574292
442,-2.3724868955545624
443,-2.5971842074734544
444,-1.5522301441666013
445,-2.469254048511605
446,-6.046312882881938
447,-2.9147096848467338
448,-2.40867963719562
449,-2.5730335159309945
450,-3.3582209671482244
451,-3.2609257225713746
452,-2.0751728782581047
453,-2.4762242264899657
454,-1.5472369744740095
455,-2.60420717875063
456,-4.38023191071564
457,-3.02848681966301
458,-3.0336851568717957
459,-2.521743515950185
460,-1.0510308041376737
461,-2.147314050520742
462,-2.966673708594355
463,-2.8214472081453503
464,-3.3925589084186525
465,-1.9800459428909265
466,-2.0965418687170514
467,-3.451812333172893
468,-3.591826218073144
469,-3.4044996377720134
470,-1.960583370018928
471,-2.875134105964956
472,-2.3815648411443426
473,-3.403269398224434
474,-3.5400789009163023
475,-2.4877918824598155
476,-2.380672690865155
477,-2.560804710824533
478,-1.9362431862310978
479,-2.949231998318932
480,-3.9297909098583363
481,-2.4110582574737207
482,-2.6015139676512584
483,-2.471269940791962
484,-2.834437332643531
485,-2.385619699260611
486,-3.7722087956114043
487,-2.9795848732741077
488,-2.116403232456749
489,-2.085104714004272
490,-2.519188340656304
491,-2.8631254748555306
492,-2.958148152201385
493,-3.338323939496025
494,-2.986201246803736
495,-2.9882059572623723
496,-2.489751640010202
497,-2.9782557035008757
498,-3.467186494324312
499,-4.038944030327483
500,-4.0842472857893
501,-3.5345451137717316
502,-3.364138583860092
503,-3.865160521620553
504,-2.9222461082431885
505,-2.798975938310348
506,-2.9976261210439064
507,-2.3629015305004852
508,-2.8971133627062455
509,-3.2581888490331434
510,-1.5329366299723761
511,-2.0360401845222555
512,-4.4601723439778755
513,-2.4654108703330357
514,-3.7970284805241685
515,-2.4686722511978463
516,-2.867657653874155
517,-2.483533202687104
518,-2.4405108951754686
519,-3.2317556024397662
520,-2.377625079911016
521,-1.8485434363076614
522,-3.4049200154085195
523,-2.8006826320478404
524,-3.3757677284404464
525,-3.3916489391150826
526,-2.4097151159313985
527,-1.9310350465350745
528,-1.9930602608130346
529,-2.160678372408168
530,-2.9192149187732936
531,-2.988117982232409
532,-2.831158499816739
533,-2.269944231530898
